COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
India,Unemployment rate,Annual,Units,2020,8.662
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-6.101
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2020,154.288
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2020,56.784
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-0.452
Myanmar,Unemployment rate,Annual,Units,2020,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,2.248
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2020,48.719
Russian Federation,Unemployment rate,Annual,Units,2020,5.767
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-3.746
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2020,39.153
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,2.377
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-2.654
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-1.406
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-5.536
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-7.093
Sri Lanka,Unemployment rate,Annual,Units,2020,5.5
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-4.625
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2020,34.616
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2020,68.927
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2020,39.446
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-2.911
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2020,34.674
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2020,44.779
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-12.096
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,5.648
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-1.454
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2020,13.308
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-1.688
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-3.277
France,Unemployment rate,Annual,Units,2020,8.025
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-7.593
France,"Gross debt, General government, Percent of GDP",Annual,Units,2020,114.831
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-7.665
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-2.053
France,"Expenditure, General government, Percent of GDP",Annual,Units,2020,61.697
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,0.371
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,6.32
Germany,Unemployment rate,Annual,Units,2020,3.625
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-4.1
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,0.898
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-5.778
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,6.165
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-8.868
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,-0.145
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,3.761
Italy,Unemployment rate,Annual,Units,2020,9.358
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-8.435
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,2.967
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,-0.027
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-4.169
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2020,44.537
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2020,258.369
Japan,Unemployment rate,Annual,Units,2020,2.8
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,3.288
South Africa,Unemployment rate,Annual,Units,2020,29.175
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,1.969
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-6.169
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,12.279
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,1.86
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-4.32
"Türkiye, Republic of",Unemployment rate,Annual,Units,2020,13.1
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-2.934
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2020,49.987
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-12.034
United Kingdom,Unemployment rate,Annual,Units,2020,4.625
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-10.297
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,0.851
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,-2.163
United States,Unemployment rate,Annual,Units,2020,8.1
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,1.253
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2020,-2.815
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,0.527
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2020,2.337
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2020,105.84
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-7.256
India,"Gross debt, General government, Percent of GDP",Annual,Units,2020,88.427
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2020,-4.788
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2020,3.212
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2021,20.566
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2021,102.669
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,6.694
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2021,16.524
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2021,19.995
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,6.939
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2021,35.614
Bangladesh,Unemployment rate,Annual,Units,2021,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-1.556
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,5.954
Brazil,Unemployment rate,Annual,Units,2021,13.2
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,1.979
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2021,88.934
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2021,40.371
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,0.918
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,1.94
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,-11.995
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2021,70.147
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.011
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2021,31.911
"China, People's Republic of",Unemployment rate,Annual,Units,2021,5.117
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2021,124.716
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-2.703
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2021,50.709
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2021,68.077
India,"Expenditure, General government, Percent of GDP",Annual,Units,2021,29.886
India,Unemployment rate,Annual,Units,2021,7.365
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.596
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2021,145.735
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2021,56.039
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-2.4
Myanmar,Unemployment rate,Annual,Units,2021,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,9.601
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2021,59.243
Russian Federation,Unemployment rate,Annual,Units,2021,4.833
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,1.112
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2021,34.939
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,6.832
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,5.866
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-3.707
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-1.321
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.731
Sri Lanka,Unemployment rate,Annual,Units,2021,5.1
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,4.207
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2021,32.542
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2021,68.672
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2021,40.384
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-1.233
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2021,31.283
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2021,43.218
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-9.116
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,5.558
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-1.099
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2021,12.917
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-2.419
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,4.763
France,Unemployment rate,Annual,Units,2021,7.867
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,6.827
France,"Gross debt, General government, Percent of GDP",Annual,Units,2021,112.703
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.217
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,0.277
France,"Expenditure, General government, Percent of GDP",Annual,Units,2021,59.463
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,3.212
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,6.92
Germany,Unemployment rate,Annual,Units,2021,3.575
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,3.67
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-1.222
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,9.69
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,5.506
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,8.931
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,1.941
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,2.1
Italy,Unemployment rate,Annual,Units,2021,9.508
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.542
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,3.894
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,-0.235
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,2.697
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2021,42.475
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2021,253.652
Japan,Unemployment rate,Annual,Units,2021,2.817
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,4.553
South Africa,Unemployment rate,Annual,Units,2021,34.3
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,3.691
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,4.955
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,19.596
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,11.439
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-0.77
"Türkiye, Republic of",Unemployment rate,Annual,Units,2021,12.0
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-0.437
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2021,45.753
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-5.58
United Kingdom,Unemployment rate,Annual,Units,2021,4.55
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,8.576
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,2.588
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,6.055
United States,Unemployment rate,Annual,Units,2021,5.358
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,4.679
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2021,-3.665
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,2.066
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2021,8.556
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2021,105.131
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-4.262
India,"Gross debt, General government, Percent of GDP",Annual,Units,2021,83.487
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2021,-0.058
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2021,8.302
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2022,21.233
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2022,115.942
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,13.75
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2022,18.48
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2022,18.587
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,7.1
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2022,37.863
Bangladesh,Unemployment rate,Annual,Units,2022,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-2.159
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,45.214
Brazil,Unemployment rate,Annual,Units,2022,9.25
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,1.307
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2022,83.939
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2022,43.445
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,1.976
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,2.422
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,4.017
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2022,75.453
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-6.399
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2022,32.641
"China, People's Republic of",Unemployment rate,Annual,Units,2022,5.583
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2022,118.806
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-1.585
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2022,49.002
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2022,64.997
India,"Expenditure, General government, Percent of GDP",Annual,Units,2022,29.102
India,Unemployment rate,Annual,Units,2022,5.3
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-4.177
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2022,138.279
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2022,54.931
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-3.351
Myanmar,Unemployment rate,Annual,Units,2022,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,28.006
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2022,55.648
Russian Federation,Unemployment rate,Annual,Units,2022,3.95
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-1.298
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2022,35.425
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,10.356
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,-1.436
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-0.989
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,0.253
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-3.718
Sri Lanka,Unemployment rate,Annual,Units,2022,5.25
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,-7.349
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2022,31.88
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2022,70.832
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2022,30.802
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,0.047
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2022,27.332
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2022,36.829
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-0.909
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,6.15
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-3.954
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2022,13.035
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-2.16
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,3.017
France,Unemployment rate,Annual,Units,2022,7.308
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,2.624
France,"Gross debt, General government, Percent of GDP",Annual,Units,2022,111.286
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-2.861
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-1.172
France,"Expenditure, General government, Percent of GDP",Annual,Units,2022,58.428
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,8.666
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,3.845
Germany,Unemployment rate,Annual,Units,2022,3.067
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,1.367
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-2.002
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,7.609
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,6.653
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,4.821
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,8.736
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-1.725
Italy,Unemployment rate,Annual,Units,2022,8.125
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-3.838
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,2.108
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,2.496
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,0.935
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2022,41.789
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2022,248.309
Japan,Unemployment rate,Annual,Units,2022,2.592
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,6.864
South Africa,Unemployment rate,Annual,Units,2022,33.5
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-0.5
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,1.911
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,72.309
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,5.533
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-5.11
"Türkiye, Republic of",Unemployment rate,Annual,Units,2022,10.4
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-2.102
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2022,44.099
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-0.912
United Kingdom,Unemployment rate,Annual,Units,2022,3.8
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,4.839
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,9.067
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,2.512
United States,Unemployment rate,Annual,Units,2022,3.642
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,7.993
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2022,-3.892
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,5.904
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2022,3.112
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2022,99.614
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-3.882
India,"Gross debt, General government, Percent of GDP",Annual,Units,2022,82.173
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2022,-0.491
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2022,9.28
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2023,21.183
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2023,110.376
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,5.859
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2023,19.487
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2023,19.535
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,5.775
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2023,39.27
Bangladesh,Unemployment rate,Annual,Units,2023,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.458
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,17.365
Brazil,Unemployment rate,Annual,Units,2023,7.975
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.149
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2023,84.001
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2023,45.309
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,0.228
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,1.442
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,0.997
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2023,82.014
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-5.794
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2023,32.734
"China, People's Republic of",Unemployment rate,Annual,Units,2023,5.217
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2023,118.998
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-1.837
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2023,48.38
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2023,62.878
India,"Expenditure, General government, Percent of GDP",Annual,Units,2023,28.412
India,Unemployment rate,Annual,Units,2023,4.939
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-3.738
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2023,134.579
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2023,53.954
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-2.2
Myanmar,Unemployment rate,Annual,Units,2023,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,25.488
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2023,57.936
Russian Federation,Unemployment rate,Annual,Units,2023,3.167
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-2.27
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2023,36.097
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,2.4
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,4.083
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,2.937
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-0.529
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,0.632
Sri Lanka,Unemployment rate,Annual,Units,2023,5.0
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,-2.33
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2023,32.51
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2023,73.363
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2023,29.263
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-3.568
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2023,33.188
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2023,37.113
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2023,-3.94
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2023,9.016
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-2.576
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2023,12.717
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2023,-1.275
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2023,3.242
France,Unemployment rate,Annual,Units,2023,7.342
